File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\problem\ModelProblem.java,59,47,40,2,12,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\ea\problem\TestProblem.java,41,31,24,2,10,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\stats\BestAvgMap.java,21,6,5,0,6,0,9,20,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\stats\EEvaluationCycle.java,17,11,8,1,6,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\stats\LogDatum.java,22,15,11,2,7,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\stats\LogReport.java,79,59,43,9,20,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\trainingdata\ITrainingSetEvaluatorVisitor.java,6,4,3,0,2,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\trainingdata\TrainingExample.java,46,32,24,4,14,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\model\trainingdata\TrainingSet.java,61,42,30,8,16,0,3,10,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\ui\ResultUI.java,94,69,60,5,22,0,3,3,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\util\AlphabetUtil.java,18,12,9,2,4,0,2,20,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\util\CandidateModelUtil.java,111,90,72,13,14,0,7,58,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\util\CandidateTestUtil.java,34,28,23,2,6,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\util\SelectionHelper.java,33,24,21,2,9,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\util\SolutionUtil.java,73,60,50,5,13,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\util\evaluation\BestAvgGraph.java,101,82,63,16,19,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\util\evaluation\BestAvgGraphPoint.java,50,38,28,8,12,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\util\evaluation\BestAvgReport.java,128,103,79,21,25,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\util\evaluation\BestAvgUtil.java,18,12,10,1,6,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\util\rand\IRandomGenerator.java,24,12,11,0,12,0,0,0,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\src\de\upb\crc901\wever\crcreal\util\rand\PseudoRandomGenerator.java,96,74,50,14,19,0,3,13,0,0
C:\Users\wever\Documents\Development\SFBWorkspace\CrcREAL\test\de\upb\crc901\wever\model\TransitionMatrixTest.java,32,22,19,2,10,0,0,0,0,0
